id,age_range,country
1,18-24,TR
2,25-34,CO
3,25-34,JP
4,25-34,AR
5,35-44,ZA
6,35-44,TR
7,<18,AU
8,25-34,ES
9,65+,SE
10,25-34,CA
11,35-44,BR
12,25-34,DE
13,45-54,CA
14,45-54,JP
15,35-44,CL
16,65+,NG
17,18-24,PT
18,<18,ZA
19,45-54,ZA
20,45-54,SE
21,18-24,KR
22,25-34,MX
23,<18,AU
24,25-34,PT
25,45-54,US
26,25-34,AU
27,25-34,CN
28,25-34,GB
29,<18,MX
30,25-34,CN
31,35-44,GB
32,65+,PT
33,55-64,CO
34,<18,ES
35,55-64,JP
36,45-54,CO
37,45-54,IT
38,25-34,AU
39,25-34,JP
40,25-34,AU
41,18-24,TR
42,18-24,IN
43,25-34,ZA
44,25-34,IN
45,45-54,AR
46,25-34,JP
47,<18,AR
48,65+,SE
49,65+,CA
50,45-54,FR
51,65+,DE
52,35-44,AR
53,65+,KR
54,18-24,CA
55,25-34,SE
56,18-24,GB
57,18-24,EG
58,18-24,GB
59,35-44,CN
60,45-54,IN
61,35-44,AU
62,18-24,BR
63,45-54,NL
64,35-44,MX
65,25-34,NL
66,35-44,GB
67,25-34,RU
68,25-34,RU
69,55-64,BR
70,25-34,CA
71,25-34,ZA
72,55-64,BR
73,45-54,ZA
74,18-24,BR
75,18-24,JP
76,<18,NL
77,35-44,EG
78,25-34,GB
79,18-24,FR
80,65+,MX
81,35-44,NL
82,25-34,IT
83,25-34,ES
84,35-44,CO
85,18-24,US
86,25-34,IN
87,45-54,IN
88,25-34,CO
89,35-44,AU
90,25-34,PT
91,<18,PT
92,18-24,CO
93,25-34,IT
94,18-24,ES
95,<18,DE
96,55-64,US
97,65+,JP
98,45-54,SE
99,55-64,JP
100,25-34,US
101,65+,NG
102,18-24,GB
103,65+,RU
104,65+,FR
105,45-54,FR
106,65+,DE
107,35-44,IN
108,25-34,EG
109,25-34,NG
110,35-44,CO
111,18-24,PT
112,35-44,BR
113,65+,PT
114,18-24,US
115,45-54,DE
116,55-64,ZA
117,65+,FR
118,65+,FR
119,35-44,EG
120,65+,NG
121,45-54,NL
122,18-24,ZA
123,25-34,AR
124,45-54,NG
125,25-34,US
126,35-44,IT
127,35-44,IN
128,18-24,BR
129,35-44,MX
130,45-54,IT
131,25-34,IN
132,<18,GB
133,<18,TR
134,25-34,ES
135,55-64,TR
136,18-24,MX
137,35-44,CN
138,18-24,CN
139,25-34,TR
140,55-64,AU
141,45-54,FR
142,18-24,RU
143,25-34,RU
144,<18,EG
145,25-34,NL
146,35-44,TR
147,18-24,JP
148,25-34,EG
149,25-34,NG
150,55-64,RU
151,65+,DE
152,<18,EG
153,45-54,EG
154,25-34,US
155,25-34,JP
156,45-54,IN
157,55-64,ZA
158,65+,CO
159,35-44,ZA
160,25-34,CN
161,45-54,BR
162,25-34,ES
163,35-44,CL
164,25-34,IN
165,35-44,ES
166,25-34,EG
167,18-24,TR
168,55-64,FR
169,18-24,IT
170,25-34,US
171,18-24,CL
172,<18,ZA
173,<18,TR
174,18-24,US
175,55-64,CL
176,25-34,MX
177,65+,IT
178,35-44,NG
179,25-34,GB
180,35-44,SE
181,25-34,US
182,45-54,PT
183,25-34,IN
184,25-34,CL
185,55-64,CO
186,65+,FR
187,55-64,NL
188,25-34,TR
189,45-54,RU
190,25-34,NL
191,25-34,ES
192,18-24,TR
193,35-44,ES
194,18-24,EG
195,25-34,PT
196,55-64,CL
197,18-24,CN
198,18-24,RU
199,18-24,DE
200,65+,IN
201,25-34,FR
202,25-34,GB
203,45-54,DE
204,45-54,RU
205,25-34,FR
206,35-44,CO
207,45-54,JP
208,35-44,NG
209,18-24,IN
210,55-64,ES
211,35-44,AU
212,25-34,TR
213,25-34,RU
214,<18,KR
215,18-24,IN
216,45-54,CO
217,<18,NG
218,25-34,AR
219,35-44,CA
220,<18,JP
221,65+,AR
222,18-24,CO
223,25-34,TR
224,25-34,CN
225,18-24,NG
226,<18,ES
227,45-54,DE
228,65+,RU
229,18-24,AR
230,35-44,CL
231,45-54,ZA
232,55-64,TR
233,25-34,CL
234,25-34,AR
235,25-34,NG
236,45-54,GB
237,45-54,GB
238,18-24,CO
239,25-34,CN
240,55-64,ZA
241,45-54,AU
242,65+,IN
243,45-54,JP
244,25-34,ZA
245,35-44,CA
246,35-44,DE
247,18-24,JP
248,35-44,ZA
249,45-54,KR
250,18-24,PT
251,45-54,IN
252,35-44,EG
253,65+,US
254,<18,IT
255,25-34,EG
256,35-44,CN
257,25-34,AR
258,45-54,KR
259,45-54,US
260,18-24,JP
261,25-34,IT
262,25-34,IN
263,25-34,GB
264,55-64,MX
265,45-54,ES
266,35-44,ES
267,45-54,JP
268,25-34,IT
269,55-64,MX
270,35-44,IN
271,45-54,RU
272,55-64,CN
273,25-34,TR
274,45-54,NL
275,18-24,EG
276,25-34,ZA
277,25-34,PT
278,65+,NL
279,55-64,NG
280,45-54,PT
281,45-54,EG
282,35-44,MX
283,65+,EG
284,25-34,GB
285,25-34,RU
286,18-24,CO
287,45-54,CA
288,45-54,SE
289,25-34,US
290,<18,US
291,45-54,AR
292,<18,MX
293,45-54,EG
294,65+,US
295,25-34,NG
296,18-24,AR
297,45-54,IN
298,45-54,JP
299,35-44,BR
300,65+,CN
301,<18,KR
302,25-34,DE
303,45-54,PT
304,55-64,BR
305,18-24,CO
306,45-54,SE
307,35-44,JP
308,25-34,CA
309,18-24,BR
310,55-64,IN
311,18-24,AU
312,25-34,CA
313,25-34,BR
314,55-64,NL
315,35-44,ZA
316,45-54,IN
317,25-34,MX
318,35-44,IN
319,35-44,AU
320,45-54,CN
321,55-64,RU
322,<18,ES
323,35-44,KR
324,<18,CN
325,35-44,NG
326,25-34,CN
327,25-34,US
328,25-34,GB
329,35-44,JP
330,25-34,NG
331,45-54,AU
332,25-34,EG
333,18-24,FR
334,45-54,JP
335,25-34,RU
336,25-34,CO
337,35-44,JP
338,25-34,AU
339,<18,NL
340,25-34,CA
341,65+,AR
342,35-44,IT
343,35-44,FR
344,35-44,SE
345,18-24,NL
346,25-34,AU
347,45-54,SE
348,18-24,PT
349,25-34,TR
350,25-34,NG
351,25-34,SE
352,65+,KR
353,18-24,AR
354,25-34,CA
355,18-24,AU
356,65+,KR
357,18-24,AU
358,25-34,CA
359,45-54,GB
360,45-54,ZA
361,25-34,MX
362,25-34,ES
363,25-34,ES
364,25-34,JP
365,18-24,JP
366,25-34,CL
367,25-34,TR
368,25-34,FR
369,35-44,CO
370,65+,EG
371,35-44,BR
372,18-24,RU
373,18-24,AR
374,65+,NG
375,25-34,CO
376,18-24,ZA
377,35-44,NL
378,35-44,NG
379,35-44,JP
380,25-34,NG
381,<18,NL
382,65+,IN
383,25-34,SE
384,35-44,CO
385,45-54,RU
386,35-44,CN
387,25-34,TR
388,25-34,NL
389,35-44,FR
390,55-64,TR
391,65+,AR
392,18-24,AU
393,18-24,PT
394,65+,ES
395,45-54,SE
396,55-64,JP
397,18-24,AR
398,35-44,SE
399,45-54,SE
400,35-44,ES
401,25-34,AR
402,<18,JP
403,35-44,AR
404,25-34,CA
405,25-34,ZA
406,65+,EG
407,25-34,BR
408,45-54,CL
409,18-24,CL
410,35-44,PT
411,65+,CL
412,18-24,DE
413,<18,ES
414,25-34,ES
415,18-24,EG
416,45-54,AR
417,55-64,AR
418,25-34,IN
419,25-34,IT
420,25-34,JP
421,45-54,NL
422,<18,IN
423,35-44,AU
424,35-44,RU
425,35-44,NG
426,25-34,ES
427,45-54,CA
428,18-24,JP
429,18-24,KR
430,55-64,EG
431,45-54,PT
432,<18,KR
433,25-34,FR
434,18-24,CN
435,25-34,NG
436,25-34,CO
437,18-24,BR
438,25-34,RU
439,45-54,RU
440,35-44,GB
441,35-44,CO
442,18-24,IT
443,65+,JP
444,45-54,IN
445,45-54,US
